,PDB_ID,Is_Answer,Total_energy,BackHbond,SideHbond,Energy_vdw,Electro,Energy_solvP,Energy_solvH,Energy_vdwclash,Entropy_sidec,Entropy_mainc,Water_bonds,UNK,Cis_bond,Energy_torsion,Backbone_vdwclash,Helix_dipole,Loop_entropy,Disulfide,Kn_electrostatic,Partial_covalent_interactions,Energy_ionisation,Entropy_complex
1,1a1m_AC,1,63.9356,-129.888,-50.4054,-216.638,-13.4341,306.037,-273.874,22.3839,108.149,298.969,0,0,0,16.3429,116.602,-0.111731,0,-3.4895,-0.404634,0,0.300251,0
2,1a1n_AC,1,25.4515,-138.788,-54.4173,-213.482,-9.82395,299.995,-269.355,11.0168,106.231,287.345,0,0,0,10.7328,107.677,-0.0745418,0,-4.17046,-0.0564328,0,0.298449,0
3,1a1o_AC,1,35.4196,-140.919,-51.3261,-212.644,-10.4814,300.396,-268.299,16.0189,106.307,290.605,0,0,0,9.6918,106.797,-0.238012,0,-3.70142,-0.278361,0,0.288657,0
4,1a9b_AC,1,58.3348,-133.255,-45.3362,-221.101,-12.0699,319.74,-275.634,20.8321,105.501,297.014,0,0,0,6.89242,122.797,0.0516686,0,-4.23644,-0.386306,0,0.321532,0
5,1a9e_AC,1,36.221,-136.992,-44.1454,-214.269,-11.1941,302.825,-270.331,13.4497,102.214,292.622,0,0,0,6.17634,111.078,0.135717,0,-4.28851,-0.280662,0,0.299506,0
6,1agb_AC,1,42.625,-137.861,-53.0828,-207.29,-16.8058,310.503,-255.766,8.1908,106.703,285.184,0,0,0,6.30449,106.198,0.0380669,0,-2.95357,-1.17671,0,0.636748,0
7,1agc_AC,1,32.6496,-149.013,-53.3896,-220.292,-16.7863,325.729,-273.12,16.3294,110.072,285.72,0,0,0,8.08605,114.529,-0.427017,0,0,-0.907659,0,0.648161,0
8,1agd_AC,1,29.6109,-145.003,-55.4588,-214.764,-16.8195,318.585,-267.089,12.6949,107.751,285.161,0,0,0,8.18452,109.722,-0.0477605,0,-3.31951,-0.926881,0,0.663409,0
9,1age_AC,1,38.6721,-140.99,-52.7303,-215.033,-18.2019,320.643,-266.816,9.92197,109.254,287.223,0,0,0,8.84194,109.098,0.0186747,0,-3.12019,-1.03722,0,0.697169,0
10,1agf_AC,1,26.8655,-143.682,-58.4648,-218.824,-16.851,322.738,-270.905,8.90204,111.154,287.816,0,0,0,8.36404,112.497,-0.106745,0,-2.4078,-1.18005,0,0.313017,0
11,1akj_AC,1,69.2878,-123.036,-45.852,-219.766,-12.5258,316.608,-278.502,20.5743,109.568,298.587,0,0,1.12406,6.45615,110.551,-0.197794,0,-4.22804,-0.400566,0,0.879045,0
12,1ao7_AC,1,75.876,-121.328,-34.1347,-214.518,-12.0361,311.65,-271.91,19.5092,101.412,289.02,0,0,0,11.7254,119.978,-0.0530151,0,-4.27376,-0.114886,0,0.927304,0
13,1b0g_AC,1,57.8798,-136.139,-43.9932,-231.641,-10.2916,330.785,-293.144,31.6023,111.493,296.659,0,0,0,6.1973,124.339,-0.23291,0,-4.21209,-0.16055,0,0.957828,0
14,1bd2_AC,1,68.7384,-128.723,-39.4267,-221.749,-11.6789,314.599,-282.397,31.9449,102.147,295.58,0,0,0,11.9199,128.053,0.00933353,0,-4.30042,-0.114038,0,0.928584,0
15,1bii_AP,1,95.6503,-117.176,-44.2604,-218.129,-21.9731,324.247,-272.232,30.7384,99.4409,307.445,0,0,0,12.2917,139.11,0.0796147,0,-4.25387,-0.733962,0,0.166365,0
16,1bqh_AC,1,130.298,-121.478,-45.7282,-218.355,-14.1903,320.481,-274.974,49.1598,107.591,305.104,0,0,0,27.4666,137.891,-0.676829,0,-4.28977,-0.0506478,0,0.236613,0
17,1bz9_AC,1,87.9199,-117.544,-44.3254,-219.12,-10.3972,313.497,-279.825,34.0313,103.386,300.829,0,0,0,10.4699,119.861,0.088013,0,-3.40981,-0.378814,0,0.619302,0
18,1ce6_AC,1,79.7706,-131.506,-52.6825,-227.973,-14.9961,324.601,-288.92,46.8445,110.938,304.37,0,0,0,13.0414,146.866,0.0963189,0,-4.30225,-0.470133,0,0.729564,0
19,1cg9_AC,1,27.8236,-138.873,-46.7519,-219.145,-13.1894,309.34,-275.662,10.5496,106.633,293.907,0,0,0,4.9753,111.807,0.282555,0,-4.2389,-0.313535,0,0.310076,0
20,1ddh_AP,1,184.702,-113.62,-42.1569,-220.151,-20.8648,331.737,-275.066,71.7596,103.449,330.164,0,0,0,24.1732,163.857,0.175153,0,-4.30728,-0.77269,0,0.181928,0
21,1duy_AC,1,62.7121,-136.185,-42.0808,-215.18,-10.7967,309.669,-271.32,18.9868,107.674,293.579,0,0,0,11.8268,125.941,0.0551486,0,-4.22392,0.000828435,0,0.707015,0
22,1duz_AC,1,46.3733,-138.778,-43.9007,-213.709,-12.1372,304.158,-269.323,16.2762,107.058,287.675,0,0,0,12.4207,112.609,0.00718626,0,-3.91025,-0.111539,0,0.648564,0
23,1e27_AC,1,25.8241,-140.27,-49.5501,-220.12,-9.04855,313.98,-278.479,15.0609,104.977,285.151,0,0,0,8.59626,116.522,-0.379585,0,-4.29185,-0.241318,0,0.439463,0
24,1e28_AC,1,149.571,-115.955,-44.8737,-210.744,-8.17648,307.286,-264.61,46.8363,101.088,320.117,0,0,0,22.4356,141.35,0.128579,0,-4.27058,-0.0977218,0,0.407143,0
25,1eey_AC,1,33.3592,-146.131,-58.2262,-221.615,-14.166,317.172,-278.027,19.6186,112.353,295.252,0,0,0,11.4963,118.514,-0.700326,0,-4.26823,-0.130834,0,0.731952,0
26,1eez_AC,1,61.8936,-133.517,-48.365,-220.918,-12.9141,315.714,-279.169,25.8486,108.971,297.856,0,0,0,12.2571,124.693,-0.210969,0,-4.2137,-0.16019,0,0.714828,0
27,1efx_AC,1,168.1,-115.063,-42.7892,-216.658,-10.0469,319.401,-274.682,56.917,99.0105,329.4,0,0,0,27.1289,178.262,-0.00621331,0,-4.30078,-0.518771,0,0.306958,0
28,1ffn_AC,1,102.385,-127.328,-47.9026,-222.535,-12.4843,319.975,-282.014,48.1611,110.018,303.021,0,0,0,18.2508,153.079,-0.209964,0,-4.23533,-0.630784,0,0.298935,0
29,1ffo_AC,1,84.3099,-126.085,-51.7826,-219.823,-13.7434,317.738,-278.448,40.332,109.604,295.403,0,0,0,15.6798,129.36,-0.142375,0,-4.26924,-0.428673,0,0.275198,0
30,1ffp_AC,1,84.9272,-130.14,-54.7292,-223.717,-13.1168,324.793,-281.442,38.6537,114.417,302.611,0,0,0,12.3211,131.642,-0.360071,0,-4.24075,-0.510955,0,0.388692,0
31,1fg2_AC,1,76.9129,-128.743,-44.4384,-218.987,-9.7178,315.745,-276.16,23.1119,105.552,298.452,0,0,0,16.7554,122.875,-0.305155,0,-4.2226,-0.563392,0,0.434013,0
