,Pdb,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,torsional clash,electrostatic kon,energy Ionisation
0,2pxy,-19.7664,-3.17664,30.2529,-21.7909,1.59708,1.11687,-0.511986,0.0123213
2,2ian,-21.134,-1.32005,29.9179,-25.9937,2.7991,0.722444,-0.267014,0.158223
4,5ksa,-17.9813,-4.57982,23.761,-21.1153,0.468178,0.204213,-0.275402,0.0619085
6,6cqq,-16.5327,-0.109486,25.8671,-19.4512,0.746687,0.190966,0.0455772,1.11022e-16
8,6u3o,-15.7732,-2.7931,21.3317,-19.8551,4.48646,0.313509,0.0607683,0.0465981
10,2z31,-18.3402,-3.21184,27.3502,-20.3505,4.04233,1.54983,-0.367299,0.0131096
12,3c5z,-19.155,-1.8565,34.4797,-20.6825,5.2352,0.384592,-0.491785,0.0405917
14,6mnm,-15.4632,-0.260621,21.0979,-19.7589,0.886133,0.47518,0.0344115,0.0146946
16,1ymm,-15.265,0.214121,24.0382,-18.1765,7.39003,2.56819,0.0109841,0.104454
18,3qiw,-23.8382,-2.09596,38.9569,-26.5494,3.83784,1.51329,-0.331233,0.0467006
20,3qib,-27.5349,-5.13956,43.7344,-32.6442,4.084,1.97834,-0.896377,0.044474
22,1zgl,-18.9967,-3.25831,28.5913,-23.4151,9.87296,1.59786,-0.642375,0.0627612
24,5ks9,-19.8221,-1.17458,30.0775,-21.6187,0.495979,0.311071,-0.0707407,0.0740295
26,2iam,-20.8903,-2.01277,31.1573,-25.8642,2.07295,1.08856,-0.357626,0.40153
28,4p23,-15.2453,-2.47666,25.151,-18.7571,0.80658,0.0767248,-0.295799,0.01785
30,3qiu,-24.7303,-4.68522,39.6788,-27.5766,3.40673,1.02277,-0.425973,0.0344068
32,6dfw,-16.2747,-2.84238,26.2895,-17.4448,4.65882,2.11786,-0.614379,0.062932
34,4ozg,-19.403,-2.25107,25.2421,-24.0265,3.25698,0.393779,-0.104006,0.260133
36,3t0e,-17.7639,-0.613444,29.7489,-20.5091,8.0992,1.54661,0.109662,0.0604225
38,4may,-13.8013,-5.33896,19.6156,-17.2082,1.10544,0.117716,-0.616334,0.270237
40,4p2q,-19.4687,-2.84897,29.0169,-21.3794,1.3191,0.57851,-0.374254,0.0522895
42,1d9k,-18.9681,-4.46372,28.8052,-22.4372,7.94354,3.0815,-0.718641,0.0223703
44,6dfx,-20.4469,-3.97562,31.5359,-22.0501,0.697666,0.37101,-0.909692,0.0550654
46,6mng,-14.8165,-0.746924,20.9031,-18.6208,2.39822,0.591182,-0.0316878,0.0104782
48,6bga,-24.0204,-2.3178,34.375,-28.7346,2.61519,0.497881,-0.592862,0.0528668
50,6u3n,-20.0094,-1.09424,28.9942,-23.8308,0.330093,0.186149,-0.280922,0.00943913
52,6mkr,-13.5558,-0.298809,19.1868,-17.3608,1.75435,0.526094,0.0765873,-3.33067e-16
54,4ozf,-14.79,-2.54092,19.7827,-18.5819,4.21191,0.0850795,-0.0947229,0.0420181
56,4grl,-13.8364,-1.844,19.774,-18.4784,0.974821,0.685875,-0.354345,0.0323539
58,3mbe,-22.698,-9.19701,40.2831,-23.3981,4.60703,1.50271,-1.27504,0.134557
60,4z7w,-20.043,-3.41444,34.8213,-21.6908,3.47505,0.17406,-0.560773,0.382419
62,3pl6,-12.3813,-4.30928,18.0709,-16.2248,1.45086,0.207477,-0.408325,0.281456
64,3rdt,-14.3598,-2.00206,22.893,-18.0585,0.866553,0.292599,-0.190036,0.0110159
66,5ksb,-19.9506,-5.61575,29.2174,-21.8844,0.862199,0.201605,-0.719776,0.0361544
68,1fyt,-17.3807,-4.52295,27.8597,-23.4921,2.43891,0.72294,-0.546473,0.0486963
70,6px6,-18.0713,-1.98936,26.0429,-22.008,1.62804,0.434712,-0.181703,0.125023
72,6py2,-16.5292,-2.2885,25.3797,-20.3562,3.29531,0.279189,-0.298969,8.32667e-17
74,3c60,-13.3682,-0.893062,17.4889,-17.8928,6.89702,0.297922,-0.424219,0.0191031
76,2wbj,-17.3889,-1.78717,26.9941,-19.1155,0.733713,0.910603,-0.217803,0.153087
78,6dfs,-14.3313,-0.810729,20.7362,-16.6992,2.49556,1.13281,-0.321115,0.0247968
80,4y19,-8.86266,0.0324842,16.596,-10.3119,0.492099,0.0740796,0.297117,0.0155507
82,4p5t,-18.3991,-4.33296,29.0259,-22.1844,3.12474,0.544306,-0.863865,0.0418111
84,6cql,-17.5129,0.419576,25.8919,-21.0713,0.886227,0.164578,-0.0756303,1.11022e-16
86,6mkd,-14.9101,-0.410417,20.6898,-18.8063,0.7219,0.483215,0.0572898,0.01763
