,PDB_ID,Energy_solvP,Entropy_sidec,Energy_torsion,Kn_electrostatic,Energy_ionisation
0,1a1m_AC,306.037,108.149,16.3429,-0.404634,0.300251
1,1a1n_AC,299.995,106.231,10.7328,-0.0564328,0.298449
2,1a1o_AC,300.396,106.307,9.6918,-0.278361,0.288657
3,1a9b_AC,319.74,105.501,6.89242,-0.386306,0.321532
4,1a9e_AC,302.825,102.214,6.17634,-0.280662,0.299506
5,1agb_AC,310.503,106.703,6.30449,-1.17671,0.636748
6,1agc_AC,325.729,110.072,8.08605,-0.907659,0.648161
7,1agd_AC,318.585,107.751,8.18452,-0.926881,0.663409
8,1age_AC,320.643,109.254,8.84194,-1.03722,0.697169
9,1agf_AC,322.738,111.154,8.36404,-1.18005,0.313017
10,1akj_AC,316.608,109.568,6.45615,-0.400566,0.879045
11,1ao7_AC,311.65,101.412,11.7254,-0.114886,0.927304
12,1b0g_AC,330.785,111.493,6.1973,-0.16055,0.957828
13,1bd2_AC,314.599,102.147,11.9199,-0.114038,0.928584
14,1bii_AP,324.247,99.4409,12.2917,-0.733962,0.166365
15,1bqh_AC,320.481,107.591,27.4666,-0.0506478,0.236613
16,1bz9_AC,313.497,103.386,10.4699,-0.378814,0.619302
17,1ce6_AC,324.601,110.938,13.0414,-0.470133,0.729564
18,1cg9_AC,309.34,106.633,4.9753,-0.313535,0.310076
19,1ddh_AP,331.737,103.449,24.1732,-0.77269,0.181928
20,1duy_AC,309.669,107.674,11.8268,0.000828435,0.707015
21,1duz_AC,304.158,107.058,12.4207,-0.111539,0.648564
22,1e27_AC,313.98,104.977,8.59626,-0.241318,0.439463
23,1e28_AC,307.286,101.088,22.4356,-0.0977218,0.407143
24,1eey_AC,317.172,112.353,11.4963,-0.130834,0.731952
25,1eez_AC,315.714,108.971,12.2571,-0.16019,0.714828
26,1efx_AC,319.401,99.0105,27.1289,-0.518771,0.306958
27,1ffn_AC,319.975,110.018,18.2508,-0.630784,0.298935
28,1ffo_AC,317.738,109.604,15.6798,-0.428673,0.275198
29,1ffp_AC,324.793,114.417,12.3211,-0.510955,0.388692
30,1fg2_AC,315.745,105.552,16.7554,-0.563392,0.434013
31,1fo0_HP,310.426,106.013,17.4612,-0.126188,0.248555
32,1g6r_HP,319.221,104.754,27.3715,0.16181,0.210249
33,1g7p_AP,309.799,109.753,7.13777,-0.755635,0.280891
34,1g7q_AP,307.316,104.62,4.90663,-0.210536,0.251984
35,1hhg_AC,329.247,113.472,10.5538,-0.198351,0.943803
