,PDB_ID,Energy_torsion,Kn_electrostatic,Energy_ionisation
0,6q3s,18.1605,-0.312636,1.1022
2,5c07,21.2148,-0.699923,1.32827
4,6g9q,16.7012,-1.64187,0.946633
6,5isz,12.7787,-0.683554,1.73867
8,2oi9,14.5817,-0.724202,0.782108
10,4qok,40.7101,-0.475911,1.0033
12,5brz,39.0844,-1.10732,1.10364
14,5jhd,20.1931,-0.31738,0.929295
16,5bs0,28.2326,-0.940569,0.949393
18,1fo0,41.0299,-0.461034,0.358607
20,4prh,11.0596,-1.52921,0.87954
22,6vqo,34.7052,-1.20745,1.8595
24,3h9s,33.4385,-0.615119,1.02623
26,3kps,13.8872,-0.889576,0.834162
28,4prp,16.3148,-0.605897,0.698893
30,5hho,14.7584,-0.619577,1.18841
32,4pri,8.763,-1.64635,0.957436
34,2f54,38.3665,-0.661845,1.11944
36,1g6r,76.7728,0.528332,0.760733
38,3qdm,30.8979,-0.598797,1.1486
40,4mji,65.1093,-1.23772,0.618047
42,7jwi,5.50211,-1.74459,1.0252
44,2gj6,24.377,-0.724,1.04307
46,6rsy,30.5562,-1.48536,1.52082
48,3qdj,21.4743,-0.421764,1.25766
50,6d78,10.5085,0.0773233,1.29228
52,7n6e,27.5855,-0.0155507,1.26991
54,6avf,18.7998,-1.35647,1.03313
56,2pye,14.9243,-0.630127,1.08412
58,4ms8,20.0087,-0.804765,0.916256
60,5d2n,21.4268,-0.36462,1.37484
62,3vxs,10.4175,-1.46055,0.951187
64,5wkh,18.3279,-1.64535,1.38704
66,3vxm,22.2724,-1.48312,1.51445
68,7n1f,22.213,-1.26973,0.960263
70,5nmg,26.0946,-0.589138,1.00959
72,6vmx,7.65019,-1.09671,0.89028
74,5sws,13.3496,-1.46289,0.557234
76,3pwp,37.6039,-0.334188,0.976591
78,5m00,9.95651,-2.44012,0.938819
80,2jcc,11.783,-0.942251,1.34301
82,2vlj,24.3157,-0.551529,0.964622
84,6avg,25.2467,-1.53094,1.82526
86,4jrx,10.2946,-1.11194,0.433572
88,4n0c,29.8916,-1.16095,0.915549
