,PDB_ID,Is_Answer,Total_energy,BackHbond,SideHbond,Energy_vdw,Electro,Energy_solvP,Energy_solvH,Energy_vdwclash,Entropy_sidec,Entropy_mainc,Water_bonds,UNK,Cis_bond,Energy_torsion,Backbone_vdwclash,Helix_dipole,Loop_entropy,Disulfide,Kn_electrostatic,Partial_covalent_interactions,Energy_ionisation,Entropy_complex
1,6q3s,1,176.285,-251.563,-100.626,-462.082,-18.2387,654.034,-580.208,41.5894,234.891,655.218,0,0,2.24811,18.1605,166.186,-0.769161,0,-17.1587,-0.312636,0,1.1022,0
2,6q3s,0,172.096,-253.087,-108.631,-461.763,-17.7462,649.291,-580.914,52.5155,234.716,653.541,0,0,2.24811,19.1511,165.815,-0.772616,0,-17.1587,-0.373552,0,1.07891,0
3,5c07,1,66.5859,-292.744,-106.025,-486.758,-20.1453,672.917,-618.355,35.2887,238.943,629.969,0,0,4.49622,21.2148,175.851,-0.39309,0,-12.4502,-0.699923,0,1.32827,0
4,5c07,0,78.4629,-295.123,-114.319,-488.145,-17.6242,668.874,-622.223,54.9571,241.38,632.303,0,0,5.18688,25.1515,177.199,-0.371995,0,-12.4502,-0.457604,0,1.32323,0
5,6g9q,1,75.0613,-281.08,-101.496,-474.05,-22.5934,668.226,-597.972,31.2858,225.546,621.599,0,0,2.24811,16.7012,162.761,0.0341525,0,-12.6937,-1.64187,0,0.946633,0
6,6g9q,0,65.7389,-283.925,-113.661,-473.036,-26.0025,666.128,-596.046,37.3384,228.042,622.256,0,0,2.24811,15.8956,162.76,0.0838901,0,-12.6937,-1.83199,0,0.943756,0
7,5isz,1,66.2409,-279.135,-112.174,-466.877,-16.5654,643.167,-593.663,33.4055,231.618,623.205,0,0,2.24811,12.7787,161.078,-0.00393894,0,-12.8179,-0.683554,0,1.73867,0
8,5isz,0,69.2064,-282.433,-111.94,-465.808,-20.0658,642.202,-592.233,41.1013,229.189,622.631,0,0,2.24811,16.0371,161.049,0.0518572,0,-12.8179,-0.655854,0,1.69977,0
9,2oi9,1,92.0304,-263.183,-99.3089,-467.624,-15.478,651.632,-590.27,37.8805,220.809,614.471,0,0,1.12406,14.5817,156.284,0.0694098,0,-12.7315,-0.724202,0,0.782108,0
10,2oi9,0,85.7434,-262.431,-107.015,-467.357,-15.5274,647.879,-590.979,43.1836,221.538,613.816,0,0,1.12406,14.0916,155.411,0.06418,0,-12.7315,-0.693936,0,0.782108,0
11,4qok,1,185.168,-284.401,-91.3391,-473.631,-16.5315,664.844,-598.801,84.4143,230.422,639.273,0,0,3.2325,40.7101,191.404,-0.93525,0,-12.6157,-0.475911,0,1.0033,0
12,4qok,0,174.238,-285.457,-98.7982,-474.096,-17.3472,663.497,-600.264,83.4855,230.936,639.559,0,0,3.2325,42.7575,191.28,-0.931118,0,-12.6157,-0.714455,0,0.994814,0
13,5brz,1,175.218,-271.339,-90.8906,-468.855,-27.4611,665.733,-585.526,50.4714,226.175,648.178,0,0,2.24811,39.0844,186.693,-0.37882,0,-12.2182,-1.10732,0,1.10364,0
14,5brz,0,164.957,-275.387,-99.0662,-469.98,-25.5245,663.983,-587.93,49.364,228.857,649.934,0,0,2.24811,40.7084,187.176,-0.364381,0,-12.2182,-0.958122,0,1.29129,0
15,5jhd,1,118.614,-262.792,-96.7008,-481.309,-14.6332,666.093,-612.892,48.669,229.203,632.803,0,0,2.39362,20.1931,181.667,-0.128606,0,-12.8954,-0.31738,0,0.929295,0
16,5jhd,0,128.566,-267.573,-103.313,-479.166,-16.1095,661.592,-610.266,66.2165,229.133,634.227,0,0,2.3939,23.898,182.118,-0.0518354,0,-12.8954,-0.445041,0,0.923497,0
17,5bs0,1,131.484,-282.745,-102.532,-462.052,-27.9718,648.962,-577.011,41.7136,231.777,642.715,0,0,2.24811,28.2326,169.266,0.170734,0,-12.0333,-0.940569,0,0.949393,0
18,5bs0,0,113.396,-287.993,-114.118,-463.819,-28.1568,648.514,-579.809,45.4141,235.243,642.898,0,0,2.24811,25.0546,169.904,0.0532677,0,-12.0333,-1.16915,0,1.06757,0
19,1fo0,1,137.184,-287.785,-109.95,-485.952,-21.3175,673.429,-621.58,61.4246,239.407,655.691,0,0,1.12406,41.0299,212.973,0.189442,0,-8.4257,-0.461034,0,0.358607,0
20,1fo0,0,126.648,-290.651,-116.28,-485.098,-21.0823,673.927,-619.633,55.1843,241.088,656.754,0,0,1.12406,39.2723,212.521,0.208764,0,-8.4257,-0.0982069,0,0.35866,0
21,4prh,1,104.297,-276.377,-110.095,-468.072,-21.5436,662.605,-588.39,27.3893,235.648,635.801,0,0,2.76414,11.0596,154.708,0.303899,0,-6.14585,-1.52921,0,0.87954,0
22,4prh,0,115.188,-275.667,-115.289,-466.586,-28.7295,656.278,-587.632,54.2172,235.579,635.593,0,0,2.71227,11.5531,153.195,0.223129,0,-6.14585,-1.80604,0,0.886924,0
