,PDB_ID,Energy_torsion,Kn_electrostatic,Energy_ionisation
1,6q3s,19.1511,-0.373552,1.07891
3,5c07,25.1515,-0.457604,1.32323
5,6g9q,15.8956,-1.83199,0.943756
7,5isz,16.0371,-0.655854,1.69977
9,2oi9,14.0916,-0.693936,0.782108
11,4qok,42.7575,-0.714455,0.994814
13,5brz,40.7084,-0.958122,1.29129
15,5jhd,23.898,-0.445041,0.923497
17,5bs0,25.0546,-1.16915,1.06757
19,1fo0,39.2723,-0.0982069,0.35866
21,4prh,11.5531,-1.80604,0.886924
23,6vqo,30.8473,-0.944803,1.86122
25,3h9s,33.6483,-0.603165,0.889468
27,3kps,15.3636,-0.838753,0.839637
29,4prp,16.2695,-0.149803,0.722193
31,5hho,18.454,-1.14388,1.69141
33,4pri,15.7371,-1.89101,0.969865
35,2f54,35.4484,-0.644532,1.10295
37,1g6r,69.2836,0.315169,0.760755
39,3qdm,29.4246,-0.720479,1.1381
41,4mji,62.8705,-1.27762,0.613691
43,7jwi,5.72462,-1.74726,1.2296
45,2gj6,25.0487,-0.479694,1.24135
47,6rsy,33.7068,-0.903604,1.34004
49,3qdj,19.4053,-0.416227,1.27445
51,6d78,15.4312,0.0874165,1.28817
53,7n6e,24.7954,-0.200797,1.27162
55,6avf,18.2598,-1.36771,1.01075
57,2pye,17.3438,-0.589048,1.05195
59,4ms8,16.8885,-0.951186,0.925341
61,5d2n,24.6211,-0.29307,1.39017
63,3vxs,12.2311,-1.30197,0.932992
65,5wkh,21.9073,-1.09697,1.37983
67,3vxm,23.3954,-1.08974,2.06168
69,7n1f,21.278,-1.11631,0.979653
71,5nmg,26.7386,-0.505657,1.00359
73,6vmx,8.96068,-1.10596,0.89028
75,5sws,13.5368,-1.3755,0.761634
77,3pwp,38.2977,-0.136507,1.16647
79,5m00,11.8396,-2.22287,0.922806
81,2jcc,11.8935,-0.86325,1.35942
83,2vlj,24.9682,-0.603703,1.47738
85,6avg,25.4855,-1.14565,1.18855
87,4jrx,9.80656,-0.913934,0.433572
89,4n0c,26.9436,-0.888988,0.904106
91,4l3e,37.1308,-1.09886,1.2461
93,3tpu,49.1236,-0.703488,0.947586
95,5ivx,12.8106,-1.74658,0.611634
97,4jry,25.1635,-0.943755,0.89645
99,7jwj,7.1821,-0.733386,0.944212
101,1oga,18.7703,-0.567066,0.978934
103,3mv7,22.1445,-1.17993,0.685606
105,3tjh,28.4647,-0.391749,0.669779
107,5euo,27.0456,-0.653055,0.987134
109,5yxu,35.1919,-1.18734,1.72264
111,3sjv,50.0092,-0.589158,0.536404
113,3ffc,24.1797,-0.924351,0.965195
115,1ao7,29.4383,-0.602721,1.21917
117,5hyj,36.1684,-0.963089,1.12539
119,6vrm,39.7989,-0.559021,1.80138
121,5men,35.2594,-0.645892,1.55003
123,5nqk,16.942,-0.368301,1.16054
125,3d39,28.0968,-0.541601,1.1662
