,PDB_ID,Energy_solvP,Entropy_sidec,Energy_torsion,Kn_electrostatic,Energy_ionisation
0,1D9K,316.401,104.668,28.0567,-1.19297,0.643406
1,1J8H,237.569,80.168,13.7559,-0.217866,0.30229
2,2PXY,318.134,105.139,11.2735,-2.20053,0.687534
3,2WBJ,306.719,103.835,8.92283,-1.72582,0.353471
4,3MBE,318.931,104.926,21.8823,-1.42739,1.96555
5,3O6F,322.91,115.057,20.7228,-1.10994,1.33811
6,3QIB,314.053,111.574,19.6893,-0.543617,0.418292
7,3QIW,309.949,107.215,16.0093,-0.66316,0.943709
8,3T0E,325.236,109.721,22.0838,-1.80313,2.26937
9,4H1L,310.491,112.938,18.1717,-1.71981,0.523479
10,4OZF,288.899,103.385,14.3727,-0.533271,0.565985
11,4OZI,291.123,100.374,9.69979,-1.08884,0.726736
12,4P23,307.377,110.84,9.96183,-0.821219,0.683048
13,4P2O,309.999,117.312,8.74547,-0.554651,0.830557
14,4P2Q,301.333,106.364,13.5441,-1.44416,0.99221
15,4P2R,298.776,106.67,15.0029,-0.798976,0.511872
16,4P46,305.373,104.749,11.3228,-1.2442,0.672564
17,5KS9,308.912,108.251,8.4284,-0.355794,0.425688
18,5KSA,300.05,105.689,7.95997,-0.741802,0.570592
19,6DFW,266.565,86.5701,12.7509,-0.657884,0.762613
20,6DFX,309.669,105.224,13.4219,0.135374,0.472803
21,6MNG,301.559,101.476,13.6638,-1.12956,0.699378
22,6PY2,294.061,102.218,8.23532,-0.65474,0.716324
23,6U3O,294.416,98.0067,9.27556,-0.68561,0.75811
24,6XC9,315.542,113.032,6.36875,-0.900017,0.740696
25,1A6A,333.067,119.942,14.9498,-0.986301,0.809931
26,1BX2,302.948,105.427,27.891,-1.70638,0.546702
27,1F3J,317.303,105.551,20.7815,-1.41966,1.44417
28,1FV1,318.97,115.395,14.3828,-1.99593,0.931303
29,1H15,327.906,112.531,18.7904,-2.0941,1.03086
30,1IAK,302.859,101.742,5.7304,-1.55523,0.57516
31,1JK8,308.204,105.974,14.7098,-0.462967,0.465171
32,1JL4,306.442,110.872,9.04424,-0.96986,0.596013
33,1KLG,324.483,119.426,23.4344,-1.42018,0.762823
34,1KLU,326.724,118.789,14.0455,-1.16002,0.369945
35,1MUJ,311.261,101.81,23.5562,-1.57342,1.08838
36,1R5V,305.075,106.783,12.4226,-0.805574,0.360629
37,1R5W,327.212,107.776,22.2601,-1.09651,0.634413
38,1SJH,317.53,117.441,14.2401,-1.4576,0.382347
39,1T5W,317.802,112.591,12.3354,-1.94001,0.355112
40,2FSE,315.588,111.64,19.4342,-2.08463,0.301727
41,2G9H,312.263,112.786,6.65519,-1.16585,0.398221
42,2NNA,320.797,114.296,13.1148,-0.633235,0.749605
43,2Q6W,346.282,120.548,18.6543,-1.75316,1.71469
44,2SEB,333.741,115.085,11.0998,-1.47733,1.64561
45,3C5J,313.495,111.462,16.2609,-1.96774,1.78898
46,3PDO,325.414,120.666,11.9365,-1.9659,0.90162
47,4H26,314.801,110.19,16.1655,0.167549,0.545605
48,4I5B,316.333,115.006,8.20726,-1.57902,0.913956
49,4IS6,321.049,110.184,19.4533,-2.00113,1.44549
50,4MDJ,323.021,112.65,7.37272,-0.0112072,1.53878
51,4OV5,321.832,120.0,6.50133,-1.6678,0.763931
52,4X5W,323.5,121.649,8.06172,-1.59641,0.592864
53,5KSU,296.107,105.877,17.2554,-0.604622,0.562973
54,5KSV,292.443,105.935,11.7474,-0.155633,0.408166
55,5LAX,330.517,116.102,8.24292,-2.36326,1.73659
56,5NI9,330.702,128.965,4.51417,-1.57964,1.94306
57,5UJT,309.383,108.014,11.0089,-0.635044,0.466944
58,6ATF,324.719,118.63,6.26023,-1.68491,0.914064
59,6BIY,326.951,117.726,8.7961,-1.33804,1.38465
60,6CPN,317.897,113.566,3.63501,-1.43655,0.720299
61,6CPO,298.673,109.415,5.75827,-1.62151,0.359784
62,6CQJ,320.88,118.562,6.56363,-2.01152,0.444563
63,6DIG,296.573,106.457,10.2271,-1.72513,0.501185
64,6HBY,326.898,120.718,6.46752,-1.97422,0.798541
65,6NIX,327.01,117.901,6.78969,-1.26339,1.3835
66,6U3M,288.941,109.62,11.1953,-0.487968,0.74035
67,6XP6,292.27,106.244,8.26827,-0.506912,0.415944
68,7N19,325.566,114.921,11.1594,-0.451158,0.969508
