,PDB_ID,Energy_solvP,Entropy_sidec,Energy_torsion,Kn_electrostatic,Energy_ionisation
3,1D9K,314.323,93.3301,32.6021,-1.94916,0.759895
10,1J8H,281.565,81.6034,32.8166,-0.716059,0.775957
16,2PXY,317.906,97.3894,35.4507,-1.16393,0.285821
22,2WBJ,321.42400000000004,96.8794,35.1966,-1.85101,0.653699
30,3MBE,321.913,101.501,31.6832,-1.09499,1.92354
38,3O6F,343.124,111.835,32.4125,-1.49064,1.3761
59,3QIB,317.872,107.144,39.7156,-0.665694,0.409931
64,3QIW,321.54400000000004,105.719,36.0824,-0.429737,0.555802
68,3T0E,324.134,104.444,39.994,-1.07292,0.315874
88,4H1L,322.308,106.577,38.2745,-1.31145,0.58332
92,4OZF,318.206,103.151,32.3648,-1.36975,0.519721
97,4OZI,308.66200000000003,97.9625,27.91,-1.31576,0.5388430000000001
103,4P23,322.574,100.337,42.6237,-1.01065,0.7480060000000001
129,4P2O,323.955,106.193,35.7819,-0.742464,0.55242
140,4P2Q,313.896,105.738,29.0825,-1.23835,1.03241
146,4P2R,307.718,101.678,34.259,-0.90355,0.354502
150,4P46,317.49,94.9625,38.6541,-0.840742,0.691258
174,5KS9,329.581,105.161,36.2515,-1.05853,1.13447
179,5KSA,319.61400000000003,104.993,34.9196,-1.39864,0.542546
192,6DFW,317.268,94.803,42.0069,-0.4085789999999999,0.370938
209,6DFX,334.574,106.795,43.0169,-0.430604,0.763796
224,6MNG,297.67900000000003,82.2866,38.1719,-0.938552,0.30933
227,6PY2,310.526,96.4682,35.239000000000004,-1.41044,0.690312
232,6U3O,319.184,99.7919,34.3668,-1.04957,0.469678
245,6XC9,350.11300000000006,109.129,39.8672,-0.0960559999999999,0.458355
268,1A6A,340.458,114.237,34.2172,-1.33335,0.901739
275,1BX2,316.80400000000003,102.798,38.6341,-1.93435,0.806986
281,1F3J,318.641,101.301,35.3086,-0.932318,1.52466
290,1FV1,327.393,102.268,35.6653,-1.07493,0.556326
299,1H15,331.334,106.838,34.9427,-1.67717,1.30334
304,1IAK,320.051,104.16,33.614000000000004,-1.09035,0.4690829999999999
309,1JK8,325.193,100.369,38.8974,-0.236428,0.388024
316,1JL4,324.039,100.744,30.7944,-1.63041,0.775169
324,1KLG,332.26199999999994,112.596,33.0485,-1.82371,0.991798
331,1KLU,325.29400000000004,109.544,29.1027,-1.73456,0.517759
351,1MUJ,325.625,108.704,44.0175,-0.956082,0.850146
366,1R5V,317.421,111.258,29.4507,-0.944844,0.601873
371,1R5W,329.76300000000003,108.791,36.5739,-0.991532,0.5332020000000001
375,1SJH,323.849,109.108,33.4677,-0.975782,0.29567
380,1T5W,330.978,110.003,35.8269,-0.8567520000000001,0.398032
387,2FSE,320.333,101.651,37.4468,-1.61032,0.2751659999999999
393,2G9H,327.034,108.88,39.7609,-1.51125,0.436616
402,2NNA,325.624,105.162,37.0954,-0.360167,0.6704439999999999
407,2Q6W,347.807,108.025,35.0047,-1.75154,1.08685
412,2SEB,335.30300000000005,106.052,35.3199,-1.48215,1.74761
416,3C5J,316.504,103.08,33.9948,-0.634278,0.557128
424,3PDO,326.399,118.364,34.0755,-1.09944,0.3874829999999999
432,4H26,325.003,110.819,34.2936,-1.5148700000000002,0.952895
433,4I5B,329.521,111.194,36.5633,-1.55133,0.382402
441,4IS6,338.987,107.929,35.0165,-1.6983400000000002,1.35973
447,4MDJ,333.074,108.463,34.984,-2.3766,1.72055
453,4OV5,324.469,109.96,31.0743,-1.65841,0.98067
461,4X5W,325.985,110.817,39.9083,-1.58787,0.34265
471,5KSU,309.788,96.6637,35.3642,-0.558072,0.4219779999999999
477,5KSV,311.966,102.463,43.416,-0.190869,0.452351
486,5LAX,334.305,104.499,29.4435,-1.67915,1.7189
490,5NI9,340.533,116.549,39.7213,-1.91734,1.84237
498,5UJT,332.60900000000004,105.28,33.7087,-0.809079,0.60083
505,6ATF,338.985,108.471,42.8778,-2.68952,0.931632
510,6BIY,341.04900000000004,114.519,41.541,-1.6166200000000002,1.43205
515,6CPN,330.535,106.388,35.4607,-1.94927,0.8669399999999999
520,6CPO,313.025,102.049,33.3599,-1.63618,0.403379
525,6CQJ,329.805,112.249,34.719,-1.50278,0.428175
530,6DIG,300.089,99.3835,37.1285,-0.781255,0.7885989999999999
538,6HBY,328.832,110.84,31.5573,-1.01334,0.738733
548,6NIX,331.851,106.869,33.9701,-1.66543,1.4254
553,6U3M,316.987,108.535,36.8148,-0.470993,0.402075
566,6XP6,321.433,106.769,35.4317,-0.72658,0.444945
584,7N19,342.101,112.205,35.7344,-2.1621,0.935072
