,PDB_ID,Energy_vdw,Electro,Energy_solvP,Energy_solvH,Energy_vdwclash,Energy_torsion,Kn_electrostatic,Energy_ionisation
0,6px6,-457.468,-18.7794,657.534,-578.334,41.084,22.3477,-1.75085,1.01196
2,1j8h,-494.6,-24.6551,693.227,-631.534,55.4347,37.8292,-2.35639,1.95853
4,6bga,-491.38,-18.3491,682.638,-626.097,22.0336,14.6651,-1.11838,1.14335
6,4ozf,-462.126,-18.8625,640.062,-586.997,37.1814,17.6055,-1.3518,0.906304
8,4y19,-484.032,-17.9705,681.644,-613.718,23.6916,8.79624,-1.41176,1.89228
10,4p5t,-478.428,-19.104,674.38,-600.935,49.2436,26.195,-1.83357,1.08504
12,6cqr,-468.429,-17.8108,652.401,-595.636,19.6699,5.11885,-1.92637,0.723868
14,2ian,-476.358,-17.1603,664.685,-605.389,58.8192,32.8852,-1.81066,0.859179
16,1ymm,-458.791,-17.2694,688.484,-575.977,335.024,104.553,-1.66684,1.2864
18,3o6f,-473.682,-20.5151,681.638,-595.023,87.1658,36.1836,-1.73601,2.21387
20,2z31,-482.619,-16.9099,687.848,-602.621,126.673,55.2679,-2.10356,0.744252
22,6u3o,-459.305,-18.8803,643.597,-581.122,32.0292,22.1463,-1.2166,0.954222
24,4ozi,-441.944,-11.0292,630.486,-558.394,24.7316,25.9917,-1.6316,1.17109
26,4ozg,-452.986,-15.4753,637.231,-574.567,37.0579,18.2993,-1.08136,1.4689
28,4p2q,-470.872,-19.118,661.147,-598.197,38.7589,29.3346,-1.28077,1.1278
30,4h1l,-470.863,-17.6597,668.209,-601.481,123.031,95.9207,-1.94172,0.899035
32,4.00E+41,-473.903,-19.8149,665.673,-598.243,36.4723,20.7623,-2.24465,1.32263
34,1u3h,-467.529,-17.3523,665.081,-585.66,98.4299,37.6556,-1.96945,0.534264
36,4z7u,-472.951,-23.4197,670.004,-592.873,22.0274,15.9841,-1.62666,1.94052
38,1zgl,-470.693,-8.3584,681.178,-598.212,237.978,88.9588,-2.08639,0.887825
40,5ks9,-470.826,-23.1121,658.845,-593.543,19.1466,9.62611,-0.699881,1.62528
42,4p2o,-483.107,-18.3122,673.854,-616.845,28.4101,16.4042,-1.10751,1.12523
44,3c6l,-452.412,-13.2279,670.025,-563.8,111.019,62.8548,-0.917342,0.909736
46,3qiw,-482.687,-17.6538,687.565,-611.621,80.2408,38.6861,-0.404152,1.71478
48,6cql,-472.013,-13.2825,664.633,-596.409,17.0257,4.68294,-1.72601,0.794732
50,3t0e,-443.896,-19.3385,665.711,-554.162,143.78,64.7705,-1.5125,2.30454
52,4ozh,-443.388,-16.8152,620.76,-560.623,20.6724,11.5913,-1.36862,1.43117
54,6mnn,-466.544,-16.1028,659.44,-587.439,54.0009,43.8031,-1.14379,1.26219
56,6mkr,-449.249,-13.91,649.436,-564.447,51.9075,25.8848,-1.0691,1.57505
58,4p4k,-479.736,-12.4518,662.359,-614.754,30.1566,10.436,-1.04531,0.801807
60,3rdt,-468.193,-20.5572,661.764,-588.779,58.8563,42.0711,-1.49508,0.973554
62,4may,-462.723,-21.7384,641.221,-585.251,22.9158,20.0857,-1.35643,1.59215
64,5ksa,-474.236,-22.8769,654.728,-599.005,21.1853,10.6063,-1.06812,0.665777
66,6dfw,-444.272,-22.5998,664.898,-549.54,76.6086,45.5252,-2.31969,1.11872
68,6mnm,-460.745,-15.8972,653.878,-580.539,44.0623,24.2989,-1.51015,1.57597
70,4y1a,-441.452,-14.4772,639.528,-557.922,33.9212,28.1285,-1.13631,2.0795
72,4p46,-453.184,-18.1085,636.089,-570.027,38.1354,30.2622,-1.50114,1.11272
74,3qib,-486.625,-22.1298,684.529,-620.605,65.4937,40.9783,-1.95918,0.774083
76,2iam,-480.115,-17.0424,671.356,-608.552,68.9658,47.915,-1.92983,1.24481
78,1fyt,-494.497,-25.252,688.445,-631.793,76.3453,40.8684,-2.46562,0.94214
80,4z7v,-469.572,-25.7758,660.494,-589.191,23.1391,12.6026,-1.02825,1.40099
82,6mkd,-459.535,-18.9615,659.721,-577.024,70.9015,34.7818,-1.34968,1.16607
84,6cqq,-475.487,-19.4975,665.58,-604.699,25.2301,11.5111,-2.17771,0.98849
86,3c60,-474.511,-14.509,680.053,-593.437,90.6199,65.9591,-1.19478,0.942716
88,3pl6,-462.212,-19.8023,641.543,-584.508,69.4903,40.0157,-1.313,1.65593
90,2pxy,-487.368,-14.1836,697.12,-607.918,72.7749,31.6617,-1.89618,0.637571
92,4gg6,-469.129,-24.2483,657.502,-590.03,35.3103,16.2274,-0.619139,1.14278
94,6py2,-459.261,-15.3835,646.257,-589.605,40.2993,18.7494,-2.02788,0.901506
96,3mbe,-470.392,-26.4433,706.005,-579.368,81.1982,66.7672,-2.50518,2.18841
98,4grl,-457.198,-18.3796,638.804,-579.995,51.4053,40.5114,-1.72182,0.926184
100,5ksb,-460.291,-25.6522,650.848,-577.95,19.8065,8.77021,-1.75827,0.782709
102,3c5z,-477.034,-16.3462,691.169,-596.477,73.5447,44.6971,-1.09069,1.04336
104,6mng,-464.813,-18.9031,651.621,-587.783,49.9591,28.4097,-1.17789,1.8017
106,6u3n,-467.263,-18.4495,652.091,-597.4,26.2729,30.4067,-1.18077,0.907773
108,4p2r,-466.911,-15.8454,652.954,-595.904,39.2482,37.2419,-0.920465,1.08736
110,4z7w,-460.688,-17.4222,656.73,-576.566,17.595,9.28446,-1.21673,1.29616
112,2wbj,-449.366,-21.4509,656.522,-557.559,31.7094,30.6533,-2.33142,0.996692
114,3qiu,-482.89,-21.8545,686.84,-612.029,49.3663,27.596,-0.886779,1.73263
116,6dfx,-466.196,-23.5191,659.661,-583.464,35.1547,18.7993,-1.8052,0.945827
118,1d9k,-484.689,-20.2943,691.208,-611.698,191.216,95.8593,-1.59098,0.976507
120,6dfs,-480.145,-18.8692,685.349,-607.021,96.8822,46.7024,-1.83379,1.31561
122,6mno,-469.163,-15.497,663.379,-591.224,49.2501,45.8017,-1.02804,1.8078
124,6cqn,-478.245,-15.4866,671.192,-606.135,24.2644,11.3367,-1.49264,1.04926
126,4p23,-463.925,-19.4189,649.944,-584.043,30.4427,15.6895,-1.47856,1.21128
