,PDB_ID,Energy_vdw,Electro,Energy_solvP,Energy_solvH,Energy_vdwclash,Energy_torsion,Kn_electrostatic,Energy_ionisation
0,1D9K,-216.028,-8.902389999999999,311.902,-273.724,79.8009,35.9862,-1.09226,0.742027
1,1D9K,-223.928,-8.43374,319.306,-284.566,131.858,35.1079,-1.56494,0.695972
2,1D9K,-220.962,-6.8880300000000005,316.259,-279.853,89.6699,43.2363,-0.8206889999999999,0.677875
4,1D9K,-224.305,-8.81218,316.728,-287.48900000000003,107.624,37.7849,-1.10616,0.68788
5,1D9K,-221.662,-10.0772,324.878,-280.255,100.852,39.587,-1.05033,1.0197200000000002
6,1D9K,-219.932,-5.45209,312.447,-282.876,106.682,34.7115,-0.859958,0.686629
7,1D9K,-223.259,-5.83287,319.17900000000003,-287.98400000000004,104.503,38.3774,-0.533932,0.780634
8,1J8H,-178.50400000000002,0.555397,279.483,-225.984,112.331,48.2312,-0.154954,0.696067
9,1J8H,-181.222,-0.104127,287.057,-229.03,167.227,47.6188,0.2376219999999999,0.621207
11,1J8H,-174.34,-5.01278,279.238,-216.272,108.734,36.9549,-0.451426,1.32361
12,1J8H,-181.753,1.43866,287.38,-227.592,130.11700000000002,41.8964,-0.659388,0.580522
13,2PXY,-217.638,-9.38487,309.015,-275.319,74.2833,34.6073,-1.08172,0.38159
14,2PXY,-220.447,-10.0276,316.155,-276.073,74.1049,36.5285,-1.72258,0.5101979999999999
15,2PXY,-222.868,-8.13074,315.302,-281.233,88.4054,37.3136,-1.53176,0.557291
17,2PXY,-219.028,-9.85052,316.445,-274.586,77.2521,39.9567,-1.36583,0.233096
18,2WBJ,-219.669,-15.2684,323.518,-275.288,66.4907,32.4855,-1.9911,1.29452
19,2WBJ,-222.349,-13.6468,318.453,-282.569,71.0222,36.6586,-1.21692,0.390414
20,2WBJ,-217.82,-12.8812,317.663,-274.935,68.6493,36.249,-1.5941299999999998,0.389488
21,2WBJ,-221.937,-12.3117,322.626,-279.998,69.9539,33.4216,-1.80207,0.5519430000000001
23,2WBJ,-224.989,-13.1899,329.521,-284.523,74.9421,36.2998,-1.4162,0.515059
24,2WBJ,-220.568,-14.6207,323.78,-276.699,81.4656,34.4881,-1.51959,0.592331
25,2WBJ,-221.754,-12.4855,323.522,-280.534,80.6308,40.5535,-0.849519,0.432038
26,3MBE,-216.148,-14.3604,323.672,-268.777,80.0372,31.4219,-0.912172,1.59199
