,PDB_ID,Is_Answer,Total_energy,BackHbond,SideHbond,Energy_vdw,Electro,Energy_solvP,Energy_solvH,Energy_vdwclash,Entropy_sidec,Entropy_mainc,Water_bonds,UNK,Cis_bond,Energy_torsion,Backbone_vdwclash,Helix_dipole,Loop_entropy,Disulfide,Kn_electrostatic,Partial_covalent_interactions,Energy_ionisation,Entropy_complex
1,1a1m_AC,0,57.3171,-132.485,-56.1282,-217.84,-15.6042,303.592,-276.932,31.4422,109.513,299.268,0,0,0,16.3965,116.452,-0.264162,0,-3.4895,-0.451647,0,0.300251,0
2,1a1n_AC,0,24.2894,-140.969,-54.791,-213.602,-14.7384,299.072,-270.21,16.5848,106.655,290.021,0,0,0,10.269,108.201,-0.0215032,0,-4.17046,-0.10869,0,0.298449,0
3,1a1o_AC,0,28.5984,-145.357,-57.0581,-212.97,-11.7809,296.702,-269.541,24.9315,106.664,292.165,0,0,0,8.79633,106.949,-0.252302,0,-3.70142,-0.287483,0,0.288657,0
4,1a9b_AC,0,57.9198,-134.342,-48.037,-221.106,-12.307,316.572,-277.158,28.048,105.121,298.159,0,0,0,7.27303,123.447,-0.00352013,0,-4.23644,-0.384458,0,0.321532,0
5,1a9e_AC,0,30.1585,-138.963,-50.3149,-213.223,-11.601,300.983,-269.801,13.312,103.861,293.792,0,0,0,6.14411,111.211,0.160956,0,-4.28851,-0.202175,0,0.299506,0
6,1agb_AC,0,43.0708,-141.564,-66.2606,-209.129,-17.707,311.59,-259.149,26.1274,109.19,287.062,0,0,0,6.71394,106.053,-0.112601,0,-2.95357,-1.3744,0,0.636748,0
7,1agc_AC,0,33.8906,-150.271,-60.1795,-219.97,-15.9737,323.98,-274.002,25.5126,111.089,286.723,0,0,0,7.7607,114.157,-0.571752,0,0,-0.855862,0,0.64826,0
8,1agd_AC,0,43.3034,-144.038,-56.2261,-214.656,-15.1477,314.761,-267.706,31.1898,104.378,285.468,0,0,0,8.3738,109.579,0.0659214,0,-3.31951,-0.502553,0,0.66404,0
9,1age_AC,0,44.8018,-141.613,-60.3673,-216.887,-19.1205,319.665,-270.286,32.8468,109.315,288.106,0,0,0,6.87839,108.833,-0.0959612,0,-3.12019,-1.21712,0,0.697499,0
10,1agf_AC,0,31.2668,-146.57,-70.4731,-217.561,-16.3601,320.172,-269.298,23.9564,112.638,288.945,0,0,0,9.22101,112.259,-0.0723275,0,-2.4078,-1.23619,0,0.313017,0
11,1akj_AC,0,74.4467,-124.423,-55.9605,-217.832,-13.7581,314.3,-276.019,33.1456,110.363,299.964,0,0,0.00600062,8.94604,110.384,-0.303475,0,-4.22804,-0.588672,0,0.834781,0
