,PDB_ID,Energy_vdw,Electro,Energy_solvP,Energy_solvH,Energy_vdwclash,Energy_torsion,Kn_electrostatic,Energy_ionisation
0,1D9K,-225.153,-13.1908,316.401,-285.197,65.3507,28.0567,-1.19297,0.643406
1,1J8H,-168.912,-3.87381,237.569,-219.626,17.426,13.7559,-0.217866,0.30229
2,2PXY,-221.581,-11.669,318.134,-277.883,31.2842,11.2735,-2.20053,0.687534
3,2WBJ,-212.287,-15.6672,306.719,-267.56,11.4734,8.92283,-1.72582,0.353471
4,3MBE,-215.176,-12.5753,318.931,-269.047,42.7318,21.8823,-1.42739,1.96555
5,3O6F,-222.11,-18.85,322.91,-280.275,39.5532,20.7228,-1.10994,1.33811
6,3QIB,-218.446,-11.4903,314.053,-279.6,25.405,19.6893,-0.543617,0.418292
7,3QIW,-216.695,-8.30552,309.949,-278.18,34.6446,16.0093,-0.66316,0.943709
8,3T0E,-215.757,-19.7417,325.236,-269.13,77.3967,22.0838,-1.80313,2.26937
9,4H1L,-217.921,-9.70928,310.491,-277.988,39.3248,18.1717,-1.71981,0.523479
10,4OZF,-209.738,-6.70622,288.899,-268.138,17.218,14.3727,-0.533271,0.565985
11,4OZI,-200.137,-9.52203,291.123,-252.9,6.18804,9.69979,-1.08884,0.726736
12,4P23,-215.366,-18.4895,307.377,-267.112,21.1084,9.96183,-0.821219,0.683048
13,4P2O,-221.801,-11.0893,309.999,-286.565,25.1458,8.74547,-0.554651,0.830557
14,4P2Q,-215.138,-10.8059,301.333,-276.402,13.3906,13.5441,-1.44416,0.99221
15,4P2R,-213.386,-7.89003,298.776,-275.733,14.2813,15.0029,-0.798976,0.511872
16,4P46,-214.437,-10.289,305.373,-268.823,31.0216,11.3228,-1.2442,0.672564
17,5KS9,-219.129,-7.22626,308.912,-276.407,21.8029,8.4284,-0.355794,0.425688
18,5KSA,-213.903,-2.86639,300.05,-269.289,11.0415,7.95997,-0.741802,0.570592
19,6DFW,-182.422,-9.768,266.565,-228.818,22.1391,12.7509,-0.657884,0.762613
20,6DFX,-217.848,-6.22376,309.669,-274.923,29.1936,13.4219,0.135374,0.472803
21,6MNG,-217.513,-11.3492,301.559,-276.094,25.0655,13.6638,-1.12956,0.699378
22,6PY2,-209.886,-6.15302,294.061,-269.857,13.108,8.23532,-0.65474,0.716324
23,6U3O,-210.509,-6.90906,294.416,-267.072,21.3215,9.27556,-0.68561,0.75811
24,6XC9,-220.169,-9.32522,315.542,-273.786,26.9712,6.36875,-0.900017,0.740696
25,1A6A,-228.647,-17.2389,333.067,-287.177,47.2677,14.9498,-0.986301,0.809931
26,1BX2,-211.626,-13.098,302.948,-267.908,28.6616,27.891,-1.70638,0.546702
27,1F3J,-218.012,-12.8508,317.303,-272.808,56.3677,20.7815,-1.41966,1.44417
28,1FV1,-219.993,-11.0728,318.97,-274.217,28.7559,14.3828,-1.99593,0.931303
29,1H15,-224.098,-10.1314,327.906,-281.607,44.9653,18.7904,-2.0941,1.03086
30,1IAK,-213.173,-13.3356,302.859,-269.093,17.7153,5.7304,-1.55523,0.57516
31,1JK8,-220.312,-9.04516,308.204,-278.263,39.9042,14.7098,-0.462967,0.465171
32,1JL4,-215.731,-14.1209,306.442,-272.525,43.4522,9.04424,-0.96986,0.596013
33,1KLG,-229.975,-17.078,324.483,-291.942,58.5579,23.4344,-1.42018,0.762823
34,1KLU,-228.943,-15.3263,326.724,-288.221,38.1433,14.0455,-1.16002,0.369945
35,1MUJ,-220.848,-10.1287,311.261,-280.603,50.178,23.5562,-1.57342,1.08838
36,1R5V,-212.769,-9.06317,305.075,-272.659,29.9782,12.4226,-0.805574,0.360629
37,1R5W,-222.695,-11.539,327.212,-282.746,70.4825,22.2601,-1.09651,0.634413
38,1SJH,-224.779,-17.0885,317.53,-284.177,22.8409,14.2401,-1.4576,0.382347
39,1T5W,-221.29,-16.0799,317.802,-276.131,21.345,12.3354,-1.94001,0.355112
40,2FSE,-215.916,-21.1484,315.588,-272.828,43.8814,19.4342,-2.08463,0.301727
41,2G9H,-220.368,-17.0033,312.263,-278.11,13.2086,6.65519,-1.16585,0.398221
42,2NNA,-227.177,-10.4693,320.797,-286.928,31.3203,13.1148,-0.633235,0.749605
43,2Q6W,-238.107,-13.6804,346.282,-301.751,34.4595,18.6543,-1.75316,1.71469
44,2SEB,-229.181,-15.1191,333.741,-288.299,28.9644,11.0998,-1.47733,1.64561
45,3C5J,-223.124,-15.0519,313.495,-284.906,22.294,16.2609,-1.96774,1.78898
46,3PDO,-230.151,-19.1509,325.414,-290.706,17.4978,11.9365,-1.9659,0.90162
47,4H26,-217.937,-5.9015,314.801,-275.967,26.7299,16.1655,0.167549,0.545605
48,4I5B,-221.606,-16.5484,316.333,-278.561,12.5391,8.20726,-1.57902,0.913956
49,4IS6,-222.728,-18.5335,321.049,-280.792,31.7855,19.4533,-2.00113,1.44549
50,4MDJ,-229.026,-11.4551,323.021,-292.482,18.0324,7.37272,-0.0112072,1.53878
51,4OV5,-225.313,-18.2663,321.832,-284.107,14.1612,6.50133,-1.6678,0.763931
52,4X5W,-226.716,-18.5338,323.5,-282.208,20.0749,8.06172,-1.59641,0.592864
53,5KSU,-210.761,-7.51158,296.107,-269.866,12.3544,17.2554,-0.604622,0.562973
54,5KSV,-208.733,-7.63597,292.443,-264.699,8.80186,11.7474,-0.155633,0.408166
55,5LAX,-226.363,-22.938,330.517,-283.685,18.3896,8.24292,-2.36326,1.73659
56,5NI9,-229.783,-20.6451,330.702,-289.743,12.3044,4.51417,-1.57964,1.94306
57,5UJT,-221.439,-7.04304,309.383,-279.18,19.2031,11.0089,-0.635044,0.466944
58,6ATF,-225.23,-14.0846,324.719,-279.703,14.2369,6.26023,-1.68491,0.914064
59,6BIY,-234.532,-16.5318,326.951,-298.083,23.2771,8.7961,-1.33804,1.38465
60,6CPN,-221.711,-17.5894,317.897,-278.592,14.5062,3.63501,-1.43655,0.720299
61,6CPO,-212.558,-17.474,298.673,-267.87,21.1983,5.75827,-1.62151,0.359784
62,6CQJ,-224.298,-15.2224,320.88,-282.53,16.4755,6.56363,-2.01152,0.444563
63,6DIG,-212.604,-13.3795,296.573,-267.786,16.532,10.2271,-1.72513,0.501185
64,6HBY,-228.694,-19.0962,326.898,-286.544,24.6391,6.46752,-1.97422,0.798541
65,6NIX,-226.274,-17.9699,327.01,-282.754,18.3449,6.78969,-1.26339,1.3835
66,6U3M,-209.913,-7.22147,288.941,-267.778,13.1662,11.1953,-0.487968,0.74035
67,6XP6,-210.171,-8.2586,292.27,-264.84,11.1448,8.26827,-0.506912,0.415944
68,7N19,-220.822,-7.86693,325.566,-275.868,12.4089,11.1594,-0.451158,0.969508
