,Pdb,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,torsional clash,electrostatic kon,energy Ionisation
0,1oga,-15.98,-0.428111,22.895,-19.9892,2.14678,0.258469,-0.249011,0.0298688
1,5brz,-15.5174,-4.26115,20.4386,-18.8592,0.918789,0.533713,-0.386107,0.0247744
2,4ms8,-12.6796,-0.902399,16.5666,-16.3888,5.15486,0.104844,-0.48782,5.55112e-17
3,5jzi,-17.9765,-2.86191,30.1101,-21.8863,5.68346,0.598958,-0.472535,-2.22045e-16
4,5sws,-15.8772,-1.80071,23.1295,-19.4111,1.6998,0.111593,-0.675171,0.0
5,1qse,-16.9892,-3.65189,25.4896,-21.2221,5.86032,0.4612,-0.74089,0.0130114
6,5bs0,-15.0334,-4.46116,19.4732,-18.2146,1.73457,0.243822,-0.31733,0.0169797
7,3mv8,-17.0599,-5.88732,26.5358,-18.7216,3.53879,0.19071,-1.45184,0.210781
8,5jhd,-18.4687,-2.7413,25.2999,-24.3713,14.0604,0.4971,-0.345762,0.00179097
9,3ffc,-19.3566,-0.927793,26.2142,-23.4756,2.54002,0.455531,-0.0619243,2.77556e-17
10,3o4l,-18.6551,-3.43917,28.341,-21.9442,5.52844,0.648251,-0.10401,5.55112e-17
11,6am5,-16.8612,-0.387014,23.4726,-20.0947,1.64965,0.381912,-0.0199389,0.0180533
12,6eqa,-17.1321,-1.31117,22.9663,-22.1087,3.02991,0.904693,-0.338849,0.000670241
13,4mnq,-17.9517,-1.9253,24.3882,-23.6183,1.8569,0.990811,-0.262248,0.0339091
14,5hho,-16.5755,-2.49331,22.2638,-21.2093,4.88268,0.788118,-0.487799,0.0162331
15,6avg,-22.9325,-3.82171,33.6823,-26.3857,5.05042,1.5857,-0.699591,0.0202913
16,6rsy,-22.9083,-3.63867,32.172,-27.5436,4.19966,1.92927,-0.458135,0.0131245
17,4mji,-22.7105,-4.71732,33.6651,-26.4335,6.17509,1.47698,-1.18785,5.55112e-17
18,5eu6,-18.9785,-1.4565,24.4137,-25.4931,9.00801,1.01368,-0.616452,0.0
19,1mwa,-16.8841,-1.58964,25.869,-19.8741,1.65052,0.237541,-0.121398,0.00782294
20,7jwi,-16.8897,-2.56303,23.1993,-20.9696,0.347951,0.110056,-1.07094,1.11022e-16
21,5c08,-12.2266,-3.63988,18.5316,-14.1099,8.79158,2.00187,-0.453735,1.94289e-16
22,3hg1,-19.094,-1.51132,27.9422,-24.0496,2.77221,1.53998,-0.0932637,0.0115003
23,4nhu,-11.1369,-0.78723,13.8261,-14.9907,9.81236,0.296003,-0.18522,0.0
