,PDB_ID,Energy_solvP,Entropy_sidec,Energy_torsion,Kn_electrostatic,Energy_ionisation
0,1a1m_AC,303.592,109.513,16.3965,-0.451647,0.300251
1,1a1n_AC,299.072,106.655,10.269,-0.10869,0.298449
2,1a1o_AC,296.702,106.664,8.79633,-0.287483,0.288657
3,1a9b_AC,316.572,105.121,7.27303,-0.384458,0.321532
4,1a9e_AC,300.983,103.861,6.14411,-0.202175,0.299506
5,1agb_AC,311.59,109.19,6.71394,-1.3744,0.636748
6,1agc_AC,323.98,111.089,7.7607,-0.855862,0.64826
7,1agd_AC,314.761,104.378,8.3738,-0.502553,0.66404
8,1age_AC,319.665,109.315,6.87839,-1.21712,0.697499
9,1agf_AC,320.172,112.638,9.22101,-1.23619,0.313017
10,1akj_AC,314.3,110.363,8.94604,-0.588672,0.834781
11,1ao7_AC,312.432,102.444,12.2868,-0.0997229,0.886197
12,1b0g_AC,324.894,110.473,7.15845,-0.184777,0.940704
13,1bd2_AC,314.437,103.954,11.6187,-0.249293,0.930297
14,1bii_AP,315.793,100.754,11.8226,-0.619746,0.16639
15,1bqh_AC,315.071,107.18,21.4088,-0.0554302,0.236613
16,1bz9_AC,309.021,104.23,9.57705,-0.522736,0.619302
17,1ce6_AC,317.591,109.951,9.88783,-0.525568,0.564389
18,1cg9_AC,307.602,108.029,5.44375,-0.270766,0.310076
19,1ddh_AP,327.458,108.591,18.3602,-0.883026,0.173801
20,1duy_AC,307.661,108.476,11.3904,-0.101363,0.663796
21,1duz_AC,302.176,108.629,16.1616,-0.222599,0.6817
22,1e27_AC,313.11,105.549,9.15207,-0.114456,0.439463
23,1e28_AC,305.313,99.7897,18.8423,-0.145568,0.418362
24,1eey_AC,312.517,113.33,11.5342,-0.217475,0.728311
25,1eez_AC,309.296,107.622,10.6317,-0.219316,0.877167
26,1efx_AC,318.966,100.386,21.8981,-0.402847,0.306958
27,1ffn_AC,319.128,110.888,16.3125,-0.639223,0.503335
28,1ffo_AC,312.761,107.653,14.2689,-0.528551,0.275198
29,1ffp_AC,320.068,113.362,10.5293,-0.460146,0.531092
30,1fg2_AC,312.692,106.186,11.7725,-0.393624,0.550481
31,1fo0_HP,308.611,106.592,15.4358,-0.0277527,0.248555
32,1g6r_HP,317.015,102.025,23.3654,-0.4675,0.21037
33,1g7p_AP,300.827,109.362,8.52776,-0.0979637,0.366633
34,1g7q_AP,304.55,106.293,4.85728,-0.402536,0.251984
35,1hhg_AC,327.602,116.005,10.4307,-0.180826,0.907212
36,1hhh_AC,310.898,114.008,6.94089,-0.333407,1.23285
37,1hhi_AC,320.427,114.813,9.9293,-0.115754,0.972328
38,1hhj_AC,329.802,110.369,11.7024,-0.117231,1.25774
39,1hhk_AC,310.96,114.311,5.66993,-0.215374,0.95661
40,1hoc_AC,314.626,106.827,14.7549,-0.861099,0.551432
41,1hsa_AC,314.774,110.842,6.32629,-0.539437,0.445688
42,1i1f_AC,318.709,111.292,13.8374,-0.0732983,0.885404
43,1i1y_AC,301.926,106.892,12.9378,-0.121845,0.960495
44,1i4f_AC,315.322,114.806,7.41204,0.056679,1.05472
45,1i7r_AC,299.02,102.357,8.45431,-0.0796002,0.859772
46,1i7t_AC,321.968,108.858,17.4751,-0.244118,0.937328
47,1i7u_AC,301.508,106.435,9.55037,-0.162047,0.666003
48,1im3_AC,316.983,113.379,7.93587,-0.14418,0.897871
49,1im9_AC,319.328,105.656,16.988,-0.774866,0.178839
50,1inq_AC,311.589,107.076,12.7543,-0.373038,0.383186
51,1jf1_AC,316.574,111.053,5.42496,-0.294117,0.89936
52,1jgd_AC,329.608,116.107,9.61881,-1.50703,1.39455
53,1jge_AC,300.331,103.414,8.46322,-0.736371,0.472388
54,1jht_AC,319.315,112.181,12.4792,-0.167152,0.945415
55,1jpf_AC,313.416,108.892,12.8026,-0.537484,0.671573
56,1jpg_AC,305.788,107.976,11.7848,-0.420655,0.309233
57,1juf_AC,304.503,108.998,7.17363,-0.50471,0.378951
58,1k5n_AC,317.624,113.183,5.99513,-1.04684,0.620081
59,1kj2_HP,310.67,101.622,13.6666,0.142195,0.214518
60,1kj3_HP,312.941,105.845,9.40409,-0.0770855,0.480813
61,1kpr_AP,326.509,103.666,38.33,-0.637802,0.696871
62,1kpu_AP,301.518,105.408,5.15715,-0.475996,0.235251
63,1kpv_AP,298.237,101.206,5.33637,-0.0628283,0.257032
64,1ktl_AP,323.406,101.751,34.669,-0.645816,0.658074
65,1lk2_AP,305.112,106.462,5.49433,-0.0236934,0.245559
66,1lp9_AC,309.741,104.827,8.09896,-0.0537968,0.894025
67,1m05_AE,298.461,101.967,7.3419,-0.164475,0.385653
68,1m6o_AC,326.509,113.792,7.51177,-0.493951,0.204959
69,1mhe_AP,315.402,100.24,16.3855,-0.304638,1.07306
70,1mi5_AC,307.423,95.8686,9.76795,-0.730527,0.717662
71,1mwa_HP,319.955,111.512,15.9305,-0.161022,0.240058
72,1n2r_AC,307.986,112.672,5.38583,-0.114326,0.205401
73,1n3n_AI,315.39,109.314,20.9068,-0.550593,0.541927
74,1n5a_AC,309.355,108.237,21.3333,-0.627809,0.459773
75,1nam_HP,300.663,103.892,16.9948,-0.101369,0.241093
76,1nan_HM,304.262,101.194,17.7462,0.24475,0.253921
77,1of2_AC,321.85,113.67,3.19732,-1.54717,0.677566
78,1oga_AC,309.919,110.868,5.53425,-0.224839,1.29039
79,1ogt_AC,321.126,117.599,3.02207,-1.82667,0.620783
80,1osz_AC,312.547,109.313,19.9652,-0.39626,0.246532
81,1p1z_AP,297.359,90.4329,35.6034,-0.395975,0.549177
82,1p4l_AP,321.477,106.299,13.0716,-0.311457,0.239705
83,1p7q_AC,322.382,106.18,27.6545,0.172742,1.04537
84,1q94_AC,313.983,103.272,16.9138,-0.425246,0.4314
85,1qew_AC,319.927,117.526,8.51617,-0.207918,0.762817
86,1qlf_AC,318.462,111.605,10.8252,-0.522989,0.546009
87,1qo3_AP,313.766,102.746,10.604,-0.507761,0.179956
88,1qqd_AC,309.443,106.638,15.978,-0.808263,0.175835
89,1qrn_AC,314.7,107.861,14.4244,-0.105869,0.959134
90,1qse_AC,322.241,102.988,18.7267,-0.0505626,0.737628
91,1qsf_AC,315.757,102.98,21.9231,-0.0935065,0.742854
92,1qvo_AC,325.312,113.053,13.0948,-0.342825,0.410538
93,1rjy_AP,306.319,109.933,5.62262,-0.362313,0.221617
94,1rjz_AP,314.614,108.105,13.9911,-0.0104999,0.247272
95,1rk0_AP,299.896,105.653,11.8493,-0.343115,0.228138
96,1rk1_AP,309.862,111.281,5.7751,0.31614,0.241393
97,1s7r_AC,307.508,103.76,11.8173,-0.145089,0.241157
98,1s7u_AC,302.914,106.654,4.77426,-0.651125,0.38896
99,1s7v_AC,313.981,107.057,8.68777,-0.758476,1.18428
100,1s7w_AC,300.82,111.43,2.657,-0.601106,0.421927
101,1s7x_AC,291.964,105.541,6.05938,-0.567428,0.420885
102,1s8d_AC,302.595,106.049,8.81526,-0.171598,0.669591
103,1s9w_AC,315.516,110.762,11.2001,-0.172148,0.90387
104,1s9x_AC,317.506,109.06,11.6592,-0.130227,0.93695
105,1s9y_AC,320.763,112.811,7.04237,-0.14834,0.942126
106,1sys_AC,328.033,114.132,11.7984,-0.29165,0.197188
107,1syv_AC,316.867,111.875,9.95908,-0.433353,0.202477
108,1t0m_AP,312.097,107.267,8.12867,-0.504438,0.254126
109,1t0n_AP,304.915,106.115,5.96803,-0.0600814,0.213618
110,1t1w_AC,309.332,110.849,8.70407,-0.20882,0.897889
111,1t1x_AC,309.894,110.667,8.24795,-0.198777,0.670759
112,1t1y_AC,307.571,109.608,4.68759,-0.167485,0.882725
113,1t1z_AC,322.619,114.651,8.8081,-0.230629,0.734339
114,1t20_AC,302.272,106.236,6.07376,-0.219402,0.6208
115,1t21_AC,312.327,111.055,7.33749,-0.186595,0.929462
116,1t22_AC,314.531,107.645,11.2967,-0.178962,0.905153
117,1tmc_AC,308.472,106.845,6.99575,-0.132071,0.8379
118,1tvb_AC,318.04,112.572,7.88541,-0.112519,0.740474
119,1tvh_AC,306.019,109.174,7.30639,-0.442696,0.704273
120,1uxs_AC,325.4,114.446,5.1347,-1.59337,0.494724
121,1uxw_AC,321.356,120.896,4.65569,-1.07474,0.584422
122,1vac_AP,314.543,116.943,3.86034,-0.0899104,0.245568
123,1vad_AP,310.714,110.439,5.51376,-0.943888,0.856521
124,1vgk_AC,312.187,108.004,10.339,-0.392833,0.179496
125,1w0v_AC,322.863,116.454,6.08858,-1.28261,0.531815
126,1w0w_AC,316.627,109.131,4.53111,-1.09568,0.65581
127,1w72_AC,310.28,105.998,5.31711,-1.17596,0.850291
128,1wbx_AC,320.34,116.881,5.9798,-0.586941,0.531078
129,1wby_AC,319.598,114.662,6.01887,-0.923097,0.518021
130,1wbz_AP,304.004,106.889,5.82064,-0.187948,0.260486
131,1x7q_AC,306.566,113.982,5.80066,-0.606697,0.224212
132,1xr8_AC,315.687,113.029,7.97924,-0.0669696,0.319583
133,1xr9_AC,309.734,113.03,3.98162,-0.21806,0.32011
134,1ydp_AP,321.99,113.954,12.5753,-0.736598,0.930929
135,1yn6_AC,322.295,115.003,11.0607,-0.743092,0.385545
136,1yn7_AC,321.143,111.05,13.5283,-0.601091,0.500125
137,1zhb_AC,303.914,105.799,5.54158,-0.655561,0.394928
138,1zhk_AC,304.629,108.138,8.849,-0.182899,0.292124
139,1zhl_AC,316.217,114.029,9.29685,-0.150908,0.30306
140,1zsd_AC,311.242,109.035,8.12167,-0.272796,0.292725
141,1zt1_AP,294.003,98.5855,3.53493,-0.111196,0.471065
142,1zt7_AP,304.145,100.052,11.7806,-0.857624,0.363121
143,2a83_AC,321.079,119.337,4.8835,-1.46904,1.02924
144,2ak4_AC,297.968,109.25,7.11898,-0.465888,0.31711
145,2av1_AC,304.2,109.599,6.80044,-0.0106007,0.703129
146,2av7_AC,299.465,105.54,8.97179,-0.180057,0.691724
147,2axf_AC,313.183,112.983,6.93157,-0.388052,0.288053
148,2axg_AC,308.235,111.171,9.00472,-0.257484,0.290788
149,2bck_AC,300.574,97.769,14.2997,-0.509397,0.522465
150,2bnq_AC,318.616,110.678,15.0936,-0.150823,0.738061
151,2bnr_AC,320.524,111.436,10.0697,-0.140193,0.732386
152,2bsr_AC,317.134,114.379,10.0872,-0.0730988,0.414443
153,2bss_AC,317.486,109.033,9.17246,-0.573872,0.442804
154,2bst_AC,317.203,112.403,7.55245,-0.82335,0.435462
155,2bvo_AC,310.532,114.162,10.4975,-0.423486,0.32875
156,2bvp_AC,318.96,114.61,7.70133,-0.328811,0.356815
157,2c7u_AC,300.313,97.3492,6.83096,-0.232407,0.949812
158,2cik_AC,305.083,106.034,6.61812,-0.215449,0.41597
159,2ckb_HP,320.816,102.774,27.0901,-0.699306,0.469261
160,2clr_AC,319.437,113.584,8.49835,-0.180803,0.720321
161,2clv_AC,302.365,100.299,6.54678,0.10988,0.215202
162,2clz_AC,298.415,96.912,4.15298,-0.237782,0.219807
163,2d31_AC,323.299,116.533,11.0802,-0.998235,0.926321
164,2dyp_AC,322.932,109.643,12.3182,-0.753557,1.09502
165,2e7l_EQ,302.154,103.848,6.93628,-0.166926,0.240962
166,2esv_AP,309.963,102.415,5.21564,-0.528677,0.897597
167,2f53_AC,314.129,113.578,6.46967,-0.162875,0.889786
168,2f54_AC,310.113,104.813,15.1581,-0.186298,0.958073
169,2f74_AC,311.255,101.312,12.7391,-0.443746,0.378206
170,2fo4_AP,305.208,105.515,9.33653,-0.0924478,0.233734
171,2fwo_AP,325.987,110.777,14.8777,-0.828565,0.180071
172,2fz3_AC,309.442,112.749,4.85491,-0.841627,0.425948
173,2git_AC,302.11,109.835,6.84997,-0.356756,0.900349
174,2gj6_AC,314.304,107.149,10.5727,-0.076398,0.962357
175,2gt9_AC,314.659,110.525,5.2146,-0.25844,0.753162
176,2gtw_AC,305.167,105.642,7.31102,-0.0495182,0.771718
177,2gtz_AC,305.639,108.96,6.23534,-0.171818,0.709268
178,2guo_AC,306.94,108.162,9.91004,-0.182025,0.705495
179,2h6p_AC,300.91,105.183,7.53731,-0.0537475,0.44862
180,2hjk_AC,309.243,111.53,6.53238,-0.325535,0.33091
181,2hjl_AC,306.14,114.584,11.5921,-0.343659,0.331287
182,2hn7_AC,309.908,113.204,7.49938,-0.448818,0.230297
183,2j8u_AC,296.618,99.8179,4.65012,-0.202661,1.42848
184,2jcc_AC,300.247,98.808,4.94986,-0.127012,0.701525
185,2mha_AE,305.688,100.459,26.7838,-0.199498,0.20292
186,2nx5_AC,310.532,111.559,7.10099,-0.367202,0.276526
187,2oi9_AQ,299.081,106.426,5.80528,-0.263773,0.210362
188,2ol3_HP,310.495,107.322,9.95266,0.0373003,0.227784
189,2p5e_AC,322.243,116.766,9.14894,-0.130068,0.710796
190,2p5w_AC,308.81,107.047,11.9063,-0.102536,1.26464
191,2pye_AC,302.002,107.692,3.34849,-0.170117,0.698985
192,2rfx_AC,298.46,102.457,9.36524,-0.462348,0.317809
193,2uwe_AC,303.984,105.546,2.53731,-0.164258,0.71218
194,2v2w_AC,304.022,106.57,4.04874,-0.170646,0.67664
195,2v2x_AC,310.733,110.281,6.01653,-0.223243,1.14807
196,2vaa_AP,307.1,107.687,4.64395,-0.0142887,0.237542
197,2vab_AP,298.581,104.891,4.1888,-0.0985877,0.24777
198,2vlj_AC,297.54,100.712,10.9245,-0.16803,0.812649
199,2vlk_AC,291.976,104.248,10.0244,-0.126985,0.663625
200,2vll_AC,312.535,112.106,5.74804,-0.207236,0.735859
201,2vlr_AC,277.566,99.1923,7.87444,-0.168745,1.26198
202,2x4o_AC,310.969,99.3037,10.5377,-0.28251,0.706597
203,2x4r_AC,311.656,104.822,8.68807,-0.130548,0.697279
204,2x4s_AC,319.939,107.167,12.1175,-0.341534,0.718484
205,2x4u_AC,312.032,107.544,13.1569,-0.380391,0.772703
206,2xpg_AC,315.209,110.954,10.6814,-0.299401,0.219382
207,2ypk_AC,302.725,110.583,10.0268,-0.673869,0.329714
208,2ypl_AC,305.379,109.874,5.56618,-0.616913,0.32245
209,3am8_AE,312.923,105.623,8.83822,-0.828619,0.739002
210,3bo8_AC,310.453,110.892,5.23166,-0.928954,0.909615
211,3bp4_AC,313.668,111.652,7.51976,-0.64065,0.438582
212,3bp7_AC,308.066,106.751,7.72586,-0.256673,0.665654
213,3buy_AC,312.784,109.387,6.52717,-0.947329,0.375034
214,3bvn_AC,321.339,113.361,17.319,-1.63381,0.342897
215,3bw9_AC,311.545,113.482,9.40351,-0.266578,0.300529
216,3bwa_AC,308.765,105.72,6.849,-0.112401,0.316926
217,3bxn_AC,309.965,111.992,5.88069,-0.139101,0.354186
218,3bze_AP,311.967,107.878,14.9344,-0.403072,1.06391
219,3bzf_AP,325.784,111.268,12.8399,-0.46404,0.683249
220,3c8k_AP,305.592,106.031,11.6961,0.00990176,0.231666
221,3c9n_AC,319.612,116.018,5.16893,-0.086959,0.306449
222,3cc5_AC,308.448,109.856,11.5235,-0.185828,0.344281
223,3cch_AC,312.464,110.973,17.9967,-0.636039,0.554932
224,3cdg_AP,314.847,106.025,20.6872,-0.468765,1.09807
225,3ch1_AC,303.044,107.65,7.2983,-0.712029,0.539955
226,3cii_AC,308.587,101.003,6.81947,-0.669994,0.855901
227,3cpl_AE,313.136,114.587,17.7558,-1.01155,0.548624
228,3cvh_AC,290.939,99.7046,4.64318,-0.152889,0.21838
229,3czf_AC,322.531,118.518,9.19636,-1.0326,1.2345
