,Pdb,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,Interaction Energy,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,Is_Answer
0,2pxy,A,D,46.3565,56.6041,-15.0221,-4.72742,-8.02138,-19.7664,-3.17664,30.2529,-21.7909,1.59708,8.2966,1.73323,0,0,-2.22045e-16,1.11687,4.79465,-0.0363552,0,0.0,-0.511986,0,0.0123213,2.384,426,57,0,0,0,1
1,2pxy,A,D,58.208,57.375,-15.2814,-5.75828,-14.5105,-19.3031,-3.7376,30.2025,-20.4916,7.10651,8.28207,2.44574,0,0,0.0,1.03474,5.72245,-0.0427355,0,0.0,-0.522234,0,0.0130761,2.384,426,56,2,2,0,0
2,2ian,A,D,42.9341,48.9085,-12.2372,-4.23284,-7.92095,-21.134,-1.32005,29.9179,-25.9937,2.7991,11.6096,3.41124,0,0,0.0,0.722444,4.91113,0.0128105,0,0.0,-0.267014,0,0.158223,2.384,420,59,0,0,0,1
3,2ian,A,D,40.3366,48.9027,-13.8043,-3.35558,-6.65011,-18.086,-1.29589,23.8747,-23.1149,1.69659,9.24214,3.58026,0,0,0.0,0.371038,4.03909,0.0128105,0,0.0,-0.238335,0,0.15898,2.384,420,56,0,0,0,0
4,5ksa,A,D,19.0802,13.9516,-22.4191,-1.87947,-11.4403,-17.9813,-4.57982,23.761,-21.1153,0.468178,9.76862,0.51997,0,0,0.0,0.204213,2.89991,0.0685384,0,0.0,-0.275402,0,0.0619085,2.384,427,55,0,0,0,1
5,5ksa,A,D,20.8178,15.437,-13.1393,-2.51309,-10.2287,-16.1215,-1.66158,20.8215,-19.149,6.47179,8.18358,0.697885,0,0,0.0,0.414544,2.84869,0.049655,0,0.0,-0.166066,0,0.0615605,2.384,427,54,2,2,0,0
6,6cqq,A,D,19.6499,17.7991,-6.68934,-4.67548,-8.57708,-16.5327,-0.109486,25.8671,-19.4512,0.746687,12.5817,3.20272,0,0,-4.44089e-16,0.190966,3.75566,0.0219372,0,0.0,0.0455772,0,1.11022e-16,2.384,428,46,0,0,0,1
7,6cqq,A,D,32.8254,18.0212,-6.62554,-1.72905,-4.87033,-12.5412,-0.395982,16.5967,-16.7873,4.13328,6.39469,2.09614,0,0,-4.44089e-16,0.42829,2.58161,-0.00201068,0,0.0,0.0512347,0,1.11022e-16,2.384,428,45,2,2,0,0
8,6u3o,A,D,26.0591,26.0524,-9.95997,-2.34961,-6.6189,-15.7732,-2.7931,21.3317,-19.8551,4.48646,9.26948,1.9276,0,0,2.22045e-16,0.313509,1.70975,-0.00618573,0,0.0,0.0607683,0,0.0465981,2.384,425,54,1,1,0,1
9,6u3o,A,D,28.1656,26.5063,-13.8188,-2.68285,-7.28414,-14.3416,-2.49795,19.7593,-17.835,1.2462,6.95604,2.2445,0,0,2.22045e-16,0.410468,1.59723,0.0249501,0,0.0,-0.19616,0,0.377401,2.384,425,52,0,0,0,0
10,2z31,A,D,81.5458,97.2757,-8.02867,-3.81659,-5.90652,-18.3402,-3.21184,27.3502,-20.3505,4.04233,8.14955,2.91974,0,0,2.22045e-16,1.54983,4.46868,-0.0604384,0,0.0,-0.367299,0,0.0131096,2.384,424,55,0,0,0,1
11,2z31,A,D,89.3308,95.2983,-5.83021,-2.77514,-8.10405,-16.9886,-2.95654,24.9842,-18.7517,7.29971,7.19214,2.63135,0,0,2.22045e-16,1.83347,3.82274,-0.0629789,0,0.0,-0.145993,0,0.0138769,2.384,424,54,2,2,0,0
