,Pdb,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,Interaction Energy,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,Is_Answer
0,1a1m,A,B,31.6776,1.44297,-13.5366,-5.07305,-7.31592,-18.7636,-3.0012,26.4438,-25.1393,5.10689,9.31067,4.80442,0,0,0.0,0.499259,0.622774,-0.00380742,0,0.0,-0.404634,0,0.0,2.384,190,46,2,2,0,1
1,1a1m,A,B,27.8544,2.34592,-7.35836,-5.25303,-5.07902,-20.3728,-5.42403,26.5916,-27.9553,16.4672,7.80871,5.13737,0,0,0.0,1.17124,0.620806,0.00144398,0,0.0,-0.451647,0,0.0,2.384,190,51,5,5,0,0
2,1a1n,A,B,21.248,0.15086,-15.9407,-4.48402,-4.54661,-16.8362,-4.3498,21.1718,-23.9992,5.23556,6.9811,4.77023,0,0,0.0,0.219369,0.762237,0.00583527,0,0.0,-0.10869,0,0.0,2.384,189,43,1,1,0,0
3,1a1n,A,B,20.4483,0.225831,-20.1143,-5.06219,-7.11355,-18.3012,1.27977,22.8244,-25.7088,0.754085,7.63406,3.29701,0,0,0.0,0.321445,0.596083,0.0171412,0,0.0,-0.0564328,0,0.0,2.384,189,44,0,0,0,1
4,1a1o,A,B,23.3077,0.446034,-15.1121,-4.00618,-6.42258,-18.8638,-0.668587,25.2921,-25.8147,1.71156,9.91031,3.78501,0,0,0.0,0.245402,0.704398,-0.00231861,0,0.0,-0.278361,0,0.0,2.384,190,49,0,0,0,1
5,1a1o,A,B,22.5692,5.73594,-16.1365,-4.09918,-7.43324,-17.8561,-1.64789,22.5499,-24.6596,5.24825,7.79188,4.08675,0,0,0.0,0.174451,0.537735,-0.0041819,0,0.0,-0.287483,0,0.0,2.384,190,48,1,1,0,0
6,1a9b,A,B,25.8877,0.595578,-13.3111,-4.88771,-6.89338,-17.1724,-0.908216,22.7535,-24.4976,8.3822,5.84149,4.01619,0,0,0.0,0.4555,1.21717,-0.0161493,0,0.0,-0.384458,0,0.0,2.384,190,45,3,3,0,0
7,1a9b,A,B,25.4966,0.259808,-19.1454,-5.68418,-7.00872,-17.7594,-0.26544,23.8249,-24.2761,1.5401,6.57976,3.87911,0,0,0.0,0.428056,0.860095,-0.0170751,0,0.0,-0.386306,0,0.0,2.384,190,45,0,0,0,1
8,1a9e,A,B,16.2969,0.116233,-17.3444,-5.2538,-6.3379,-18.4695,-0.39901,25.1486,-25.6105,2.98796,7.55684,3.09377,0,0,0.0,0.224977,0.55373,-0.00522117,0,0.0,-0.280662,0,0.0,2.384,190,46,0,0,0,1
9,1a9e,A,B,15.116,1.67657,-16.5451,-4.69406,-5.08471,-17.5575,-1.45226,24.5306,-24.8944,2.44319,6.46891,3.6618,0,0,0.0,0.220366,0.711436,0.015147,0,0.0,-0.202175,0,0.0,2.384,190,45,0,0,0,0
10,1agb,A,B,12.3732,2.2714,-7.01485,-6.11414,-14.3516,-19.273,-5.14854,31.2913,-24.492,17.4318,10.0529,4.18633,0,0,0.0,0.764869,0.531378,0.0116327,0,0.0,-1.3744,0,0.0,2.384,189,46,4,4,0,0
11,1agb,A,B,12.0217,0.944945,-15.485,-5.81974,-8.80231,-16.7311,-4.83991,26.8617,-21.3456,1.21108,10.3091,4.5279,0,0,0.0,0.317561,0.57396,0.00299881,0,0.0,-1.17671,0,0.0,2.384,189,44,0,0,0,1
12,1agc,A,B,22.257,0.0703853,-20.5239,-6.77233,-10.849,-17.3769,-4.75537,27.3504,-22.7484,1.96921,8.68169,4.74656,0,0,0.0,0.118884,0.509968,0.0190274,0,0.0,-0.907659,0,0.0,2.384,189,46,0,0,0,1
13,1agc,A,B,19.6525,0.21772,-8.76064,-5.22908,-10.5301,-17.8701,-3.08269,28.8536,-24.1638,13.3157,6.74757,3.94461,0,0,0.0,0.0874206,0.356509,0.0220844,0,0.0,-0.855862,0,0.0,2.384,189,47,5,5,0,0
14,1agd,A,B,18.5694,3.79066,-1.27561,-5.99024,-8.3915,-17.2645,-1.87221,25.8422,-23.3135,16.8616,8.3015,4.71202,0,0,0.0,0.341845,0.652698,-0.000360641,0,0.0,-0.502553,0,0.0,2.384,189,44,5,5,0,0
15,1agd,A,B,18.1123,0.696585,-20.4935,-6.64061,-9.83748,-17.2703,-4.69258,26.295,-23.1401,1.91761,8.85644,4.78824,0,0,0.0,0.152847,0.600928,0.00445538,0,0.0,-0.926881,0,0.0,2.384,189,44,0,0,0,1
