,Pdb,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,Interaction Energy,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,Is_Answer
0,1a1m,A,B,27.8544,2.34592,-7.35836,-5.25303,-5.07902,-20.3728,-5.42403,26.5916,-27.9553,16.4672,7.80871,5.13737,0,0,0.0,1.17124,0.620806,0.00144398,0,0,-0.451647,0,0.0,2.384,190,51,5,5,0,0
1,1a1n,A,B,21.248,0.15086,-15.9407,-4.48402,-4.54661,-16.8362,-4.3498,21.1718,-23.9992,5.23556,6.9811,4.77023,0,0,0.0,0.219369,0.762237,0.00583527,0,0,-0.10869,0,0.0,2.384,189,43,1,1,0,0
2,1a1o,A,B,22.5692,5.73594,-16.1365,-4.09918,-7.43324,-17.8561,-1.64789,22.5499,-24.6596,5.24825,7.79188,4.08675,0,0,0.0,0.174451,0.537735,-0.0041819,0,0,-0.287483,0,0.0,2.384,190,48,1,1,0,0
3,1a9b,A,B,25.8877,0.595578,-13.3111,-4.88771,-6.89338,-17.1724,-0.908216,22.7535,-24.4976,8.3822,5.84149,4.01619,0,0,0.0,0.4555,1.21717,-0.0161493,0,0,-0.384458,0,0.0,2.384,190,45,3,3,0,0
4,1a9e,A,B,15.116,1.67657,-16.5451,-4.69406,-5.08471,-17.5575,-1.45226,24.5306,-24.8944,2.44319,6.46891,3.6618,0,0,0.0,0.220366,0.711436,0.015147,0,0,-0.202175,0,0.0,2.384,190,45,0,0,0,0
5,1agb,A,B,12.3732,2.2714,-7.01485,-6.11414,-14.3516,-19.273,-5.14854,31.2913,-24.492,17.4318,10.0529,4.18633,0,0,0.0,0.764869,0.531378,0.0116327,0,0,-1.3744,0,0.0,2.384,189,46,4,4,0,0
6,1agc,A,B,19.6525,0.21772,-8.76064,-5.22908,-10.5301,-17.8701,-3.08269,28.8536,-24.1638,13.3157,6.74757,3.94461,0,0,0.0,0.0874206,0.356509,0.0220844,0,0,-0.855862,0,0.0,2.384,189,47,5,5,0,0
7,1agd,A,B,18.5694,3.79066,-1.27561,-5.99024,-8.3915,-17.2645,-1.87221,25.8422,-23.3135,16.8616,8.3015,4.71202,0,0,0.0,0.341845,0.652698,-0.000360641,0,0,-0.502553,0,0.0,2.384,189,44,5,5,0,0
8,1age,A,B,15.7062,3.18454,-8.41476,-5.72974,-14.0822,-19.6784,-6.38902,29.2936,-26.168,20.7217,10.3488,4.36309,0,0,0.0,0.112738,0.520118,0.00969464,0,0,-1.21712,0,0.0,2.384,189,43,5,5,0,0
9,1agf,A,B,18.4435,0.939722,-7.92155,-6.52643,-11.8679,-17.2787,-4.22601,28.0121,-21.5251,12.9173,8.27459,4.64695,0,0,0.0,0.876909,0.670434,0.0109749,0,0,-1.23619,0,0.0,2.384,189,47,5,5,0,0
