,PDB_ID,Num,Is_Answer,Total_energy,BackHbond,SideHbond,Energy_vdw,Electro,Energy_solvP,Energy_solvH,Energy_vdwclash,Entropy_sidec,Entropy_mainc,Water_bonds,UNK,Cis_bond,Energy_torsion,Backbone_vdwclash,Helix_dipole,Loop_entropy,Disulfide,Kn_electrostatic,Partial_covalent_interactions,Energy_ionisation,Entropy_complex
0,1D9K,1,0,147.015,-112.36399999999999,-36.9304,-216.028,-8.902389999999999,311.902,-273.724,79.8009,92.7626,278.235,0,0,1.12406,35.9862,138.541,-0.229431,0,-4.26633,-1.09226,0,0.742027,0
1,1D9K,2,0,190.579,-115.59100000000001,-33.9394,-223.928,-8.43374,319.306,-284.566,131.858,97.0538,277.70099999999996,0,0,1.12406,35.1079,135.447,0.019159799999999998,0,-4.26369,-1.56494,0,0.695972,0
2,1D9K,3,0,155.863,-117.807,-41.54,-220.96200000000002,-6.8880300000000005,316.259,-279.853,89.6699,97.6514,279.71,0,0,1.12406,43.2363,136.878,-0.329083,0,-4.2661,-0.8206889999999999,0,0.677875,0
3,1D9K,4,1,145.593,-114.309,-31.4554,-222.19299999999998,-10.0425,314.323,-283.672,91.632,93.3301,279.718,0,0,1.12406,32.6021,136.805,-0.014663999999999998,0,-4.26023,-1.9491599999999998,0,0.759895,0
4,1D9K,5,0,169.792,-112.89299999999999,-31.614,-224.305,-8.81218,316.728,-287.48900000000003,107.624,97.1576,279.374,0,0,1.12406,37.7849,137.24,-0.211988,0,-4.25614,-1.10616,0,0.68788,0
5,1D9K,6,0,173.35,-114.009,-41.4611,-221.662,-10.0772,324.878,-280.255,100.852,101.64,277.199,0,0,1.12406,39.586999999999996,136.38,-0.163486,0,-4.27096,-1.05033,0,1.0197200000000002,0
6,1D9K,7,0,170.829,-114.264,-31.2768,-219.93200000000002,-5.45209,312.447,-282.876,106.682,92.7772,281.282,0,0,1.12406,34.7115,136.674,0.007998,0,-4.2287,-0.859958,0,0.686629,0
7,1D9K,8,0,172.229,-109.686,-28.660999999999998,-223.25900000000001,-5.83287,319.17900000000003,-287.98400000000004,104.50299999999999,92.7884,275.559,0,0,1.12406,38.3774,136.27700000000002,0.136794,0,-4.26361,-0.533932,0,0.780634,0
8,1J8H,1,0,294.737,-67.7376,-28.5869,-178.50400000000002,0.555397,279.483,-225.984,112.331,83.4207,269.76599999999996,0,0,1.12406,48.2312,104.087,0.097087,0,0.0,-0.154954,0,0.696067,0
9,1J8H,2,0,367.082,-59.876999999999995,-27.649,-181.222,-0.104127,287.057,-229.03,167.227,84.2807,276.825,0,0,1.12406,47.6188,105.55,-0.0266181,0,0.0,0.23762199999999997,0,0.621207,0
10,1J8H,3,1,300.98400000000004,-65.1937,-22.3888,-180.037,-0.776433,281.565,-227.296,123.73100000000001,81.6034,275.73,0,0,1.12406,32.8166,106.229,0.045480400000000004,0,0.0,-0.716059,0,0.775957,0
11,1J8H,4,0,308.615,-60.6064,-22.7313,-174.34,-5.01278,279.238,-216.27200000000002,108.734,79.959,280.619,0,0,1.12406,36.9549,93.9125,0.0759398,0,0.0,-0.45142600000000005,0,1.32361,0
12,1J8H,5,0,328.597,-64.5816,-21.9207,-181.753,1.43866,287.38,-227.592,130.11700000000002,80.3096,282.33099999999996,0,0,1.12406,41.8964,101.829,-0.0738177,0,0.0,-0.659388,0,0.580522,0
